word,meaning

Unsightly,מכוער

Symbiont,"אחד מבין שני אורגניזמים שחולקים סימביוזה, חיים בדו קיום ואף תורמים זה לזה בקיומם (כמו חיידקי המעיים אצל בני האדם)"

Sonata,"סונטה, יצירה מוזיקלית לכלי אחד או שניים"

Comptroller,"מבקר, חשב, רואה חשבון, פקח; מבקר המדינה"

Invoice,חשבונית

Gammon,שטויות; הבלים; קותל חזיר

to kip,"לישון, ללון; להתכונן לישון"

to mislay,"לאבד, להניח לא במקום הנכון"

to wamble,"להרגיש בחילה, להוציא, להקיא; להתנועע בחוסר יציבות קדימה ואחורה; להתנודד או להתגלגל"

to slue,לסובב; להסתובב

to overset,להפוך; לעורר (אדם כלשהו) רגשית

to exculpate,לזכות מאשמה

to swot,(סלנג בריטי) ללמוד בחריצות; לעבוד קשה

to yean,להמליט טלה או כבשה (אקראי)

Impingement,"התנגשות, פגיעה; הסגת גבול, חדירה; יצירת רושם "

Vagabond,"נווד, משוטט / נע ונד"

Swot,(סלנג בריטי) סטודנט חרוץ; אדם העובד קשה

Vagabondism,"נדידות, נוודות"

Paramour,מאהב

Vinous,"ייני, של יין"

Crinoline,תחתונית מעוצבת

Ventral,"בטני, גחוני"

Bailiff,פקיד של בית משפט או הוצאה לפועל; מנהל אחוזה

to earmark,"לתקצב; לייעד, לשריין, להקציב"

Concordance,"התאמה; מתאימון, קונקורדנציה"

Perimortem,"בזמן המוות, או זמן קצר לפני"

to darkle,"להחשיך, להאפיל"

Glen,גיא; ערוץ

Misanthropist,"שונא אדם, דוגל בשנאת הבריאות"

Passepartout,"מסגרת לתמונה המורכבת מזכוכית המונחת על תמונה כאשר מסגרת נוספת של ניר או קרטון מוצמדת לתמונה בפינותיה; ניר או נייר דבק המשמשים כמסגרת; רקע קישוטי לתמונה; מפתח פותח-כל, מפתח הפותח את כל המנעולים; דבר העובר דרך כל מקום, דבר המספק אמצעי מעבר כוללים"

Mongoloid,"מונגולואידי, הדומה לעם המונגולי, של או הדומה בתכונותיו למונגולי טיפוסי, בעל פנים צהבהבים שטוחים (אנתרופולוגיה)/ (אנתרופולוגיה) מונגולואיד, בן לגזע המונגולי "

Wayward,"הפכפך; גחמני; משתנה, לא סדיר; סורר, מרדני "

Lint,מוך; רטיית-מוך (לחבישה); מעבד שפת C העורך בדיקה יסודית של קוד המקור (מחשבים)

Contraction,"התכווצות, עווית; קיצור, צמצום, הצטמצמות; מילה או ביטוי מקוצרים אשר מכילים גרש (אפוסטרופי) במקום אותיות חסרות (למשל she's) "

to swab,"לשטוף, לנקות, לנגב"

Swab,ספוגית; משטח (רפואי)

Sartorial,של חייט; של חייטות; של ביגוד; של שריר החייטים (באנטומיה)

to fete,לערוך מסיבה לכבוד-

to mete,"לחלק, לתת, להקציב "

to mete out,"לתת (משהו) לאנשים שהוחלט שמגיע להם, לחלק או להפיץ משהו"

to mete out punishment,למצות את העונש

Oafish,שוטה; מטומטם; טיפש; כמו גולם 

Cooties,כינה (סלנג)

Gyp,רמאות (סלנג); הונאה (סלנג)

Vaudevillian,איש תיאטרון וודביל (אדם הכותב או מבצע קטעים בתיאטרון וודביל) 

Fellatio,מציצה (של איבר המין הגברי)

Gopher,סנאי כיס

Fete,"מסיבה, חגיגה; משתה, סעודה; חג"

Mete,גבול; תחום; ציון גבול 

Witticism,"הערה שנונה, ""הברקה"""

Cherubic,"מלאכי; יפהפה, תמים"

Pathological,פתולוגי; חולני

Olfaction,חוש הריח; הרחה

Stigmata,פצעי ישו

to glom,"לגנוב, להחרים; לחטוף; לחטוף מבט, לתקוע מבט "

to lob,לתלל (בטניס: לחבוט בכדור לגובה)

Crass,גס; מטומטם

Purpura,ארגמנת (מחלה); קדחת חזירים

Phantasmagoria,חזון תעתועים

Agoraphobia,פחד ממקומות פתוחים

Claustrophobia,פחד ממקומות סגורים

Suffrage,זכות הצבעה או בחירה

Granularity,גרגריות; גרעיניות

to dehull,"לחלץ מהקליפה (תבואה, קטנייה, אגוז וכו')"

Androgenic,אנדרוגני (של תכונות זכריות)

Plafond,תקרה מקושטת

to rumple,"לקפל, לקמט; לפרוע (שיער)"

Machismo,גבריות; שליטת הגבר

Schadenfreude,"שמחה לאיד, הנאה מצרה של אחר"

Grandiloquent,נמלץ; מנופח; מדבר נמלצות

Cathode,"אלקטרודה שלילית, כתודה (בחשמל)"

Anode,"אלקטרודה חיובי, אנודה (בחשמל)"

Grabby,חמדני; רודף בצע

Internecine,"משמיד הדדית, הרסני באופן הדדי"

Turophile,מי שאוהב גבינות; מי שמבין בגבינות

Rick,גדיש

Scutch,לנפץ (פשתן)

Einkorn,סוג חיטה עתיק

Caul,עטיפת העובר

Prehensile,"(זרוע, זנב או כלי כלשהו) שניתן לתפוס בעזרתו"

Eurypterid,משפחת מאובנים פרוקי רגליים שדמו לעקרבים גדולים 

Ocellus (p.) Ocelli,"עין (אצל חסרי חוליות); נקודה (בצורת עין, לדוגמא בזנב טווס או על כנפי פרפר)"

to splay,"ללכסן, להטות בשיפוע; להרחיב; להתרחב, להתפשט; להיות משופע"

Splay,"רחב ושטוח; פונה כלפי חוץ; משופע; הולך ומתרחב, נפרש / שיפוע, משטח משופע; השתפעות, התלכסנות; התרחבות, התפשטות"

Deist,"מאמין באל, דאיסט"

Hyrax,שפן סלעים

Cutaneous,"עורי, של העור"

Grail,גביע; גביע הקודש (בנצרות)

Adipose,שומני; של שומן

Vindication,"הצדקה, הגנה, הוכחה"

In memoriam,"לזכר, לזכרו של (אדם מנוח)"

Palimpsest,גיליון קלף מחוק

Analgesic,"משכך כאבים / חומר הגורם לא להרגיש כאב, משכך כאבים"

to romp,להשתובב

to lark,"להשתעשע; להתל; לחמוד לצון; לעלוץ, להשתולל"

to conjugate,"להטות פעלים (בדקדוק); לאחד, לזווג (כמו בנישואין) "

Infinitive,של מקור (בדקדוק) / מקור (בדקדוק)

to josh,"לצחוק על-, להתלוצץ על חשבון-, ""למתוח"" (סלנג) "

Saccade,תנועה מהירה חריגה של העין; בדיקה מהירה ותקיפה של סוס על ידי משיכה במושכות 

Bonkers,"(סלנג) משוגע, מטורף, ""דפוק בשכל"", בלתי שפוי "

to desist,"להפסיק, לחדול "

to miff,"להרגיז, להעליב, לגרום מורת רוח "

Nosh,מזון; אכילה (סלנג)

Du jour,"(צרפתית) ""של היום"", מוגש היום, מוגשת כמנת היום (במסעדה); אופנתי כיום, מעוצב ברוח הזמן; פופולרי ביותר היום, פופולרי בתקופה ספציפית "

Gerund,שם הפועל (בדקדוק); שם הפעולה (בדקדוק) 

Commensal,"סמוך על שולחן אחד עם-,האוכל ביחד ליד שולחן אחד; חי יחד, אורגניזם החי ליד או בתוך אורגניזם אחר ללא גרימת נזק (צמחים וחיות); החי באותו אזור אך בעל ערכים ואורח חיים שונים (בני אדם) / שותף לשולחן; אורגניזם החי ליד או בתוך אורגניזם אחר ללא גרימת נזק"

Mutualism,"מוטאליזם, יחסי הדדיות, יחסי גומלין סימביוטיים (במערכות אקולוגיות); הדדיות (כהשקפה פילוסופית)"

Strain,מתח; לחץ; מאמץ; נקע; לחן; נימה; מגמה; אופי; מוצא

Fovea,"גומה, שקע (בביולוגיה) "

Doily,מפית קטנה

to meliorate,להשביח; לשפר; להשתפר

to ameliorate,לשפר; להשתפר

Microbiome = Microbiota,"סך המיקרואורגניזמים בסביבה מוגדרת (כגון גוף של בע""ח, אסלה, מבחנה וכו'); הגנים המשותפים של סך המיקרואורגניזמים בסביבה מוגדרת"

Holobiont,"סך המיקרואורגניזמים בסביבה מוגדרת שהיא סביבה חיה (כגון אדם, סנאי, כלב ושאר צורות חיים מורכבות)"

Untoward,"סורר; לא נעים, לא נוח"

Somnambulism,"סהרוריות, הליכה מתוך שינה"

Phantasma,חזיון תעתועים

Narcolepsy,נרקולפסיה (מחלה המאופיינת בהתקפי שינה בלתי נשלטים)

Mint,"נענע, מנטה (צמח); סוכריה בטעם מנטה; מטבעה, בית חרושת לייצור מטבעות; (סלנג) מכרה זהב, מקור בלתי נדלה / חדש, לא משומש"

Spearmint,"נענע, מנטה (צמח)"

Peppermint,נענה חריפה; מנטה

Mugwort,כל אחד מסוגים שונים של עשב מסוג לענה הנפוץ בעיקר בשטחי בר 

Aromatology,שימוש שמנים אתריים מצמחים למטרות רקיחה וטיפול במחלות

Hepatology,"הפתולוגיה, חקר הכבד, תחום רפואי העוסק בכבד ובטפולים בו"

Onomatology,חקר השמות הפרטיים

Stomatology,תורת הפה ומחלות הפה

Carminative,נגד גזים (במעיים) / תרופה נגד גזים במעיים

Necropsy,"נתיחה שלאחר המוות, בדיקת גופה"

to clobber,"להביס; לחבוט באכזריות, למחוץ; לכסות עיטור בצבע, למרוח שכבת צבע על קישוט"

Entomology,חקר החרקים

to mint,"ליצור מחדש, לטבוע מטבעות; לטבוע מלים חדשות; להמציא, לחדש"

Porcine,חזירי

Hircine,"של איילים, של עופר"

Corvine,"עורבי, של עורבים, השייך לעורבים"

Caprine,"עזי, של עזים; של גדי; תכונה או מאפיין של גדי"

Piscine,של דגים; דמוי דג / בריכת שחייה; מקווה מים

Shrew,"חדף (בעל חיים); כלבתא, אישה סוררת, מרשעת"

Leporine,"ארנבי, דמוי ארנבת"

Ferine,פראי; פרא; בר; אכזרי

Reduction ad absurdum,"הבאה לידי אבסורד (הוכחת משפט ע""י שימוש במשפט הנוגד אותו, הבאה לסתירה הגיונית)"

to paginate,למספר דפים; לעמד

Upswing,"שיפור, התקדמות חיובית; עלייה, גידול; תנועה למעלה "

Wordiness,"רוב מלל, מילוליות-יתר; מילוליות "

Pout,שפמנון (דג) / שרבוב (שפתיים ברוגז); העמדת פנים רוגזות; החמצת פנים 

Offing,אופק הים; לב ים

Portentous,בשר רע; מנבא רע; מרשים; מופתי; יהיר

Eversion,"הפיכה כלפי חוץ, התהפכות "

to lumber,"לנוע בכבדות; לטרטר (קול); לערום, לגבב; לכרות ולנסר עצים"

Tort,"נזק, עוולה (במשפטים) "

Guarantor,"ערב, אחראי"

Buddle,מכל רדוד שמשתמשים בו למטרות שטיפת מחצב או עפרה

Provocateur,מעורר פרובוקציות

Morbific,נושא מחלה; גורם מחלה

Garbanzo,חומוס (קטנית)

Wad,"גוש קטן, כדור קטן; מוך, חומר ריפוד; צרור; חבילה, כמות גדולה"

Turducken,"מאכל שעשוי מעוף נקי מעצמות, דחוס בברווז שמונח בתוך תרנגול הודו נקי חלקית מעצמות"

Pastel,רך וחיוור (צבע); של פסטל/ פסטל; עפרון צבעוני

Synovial,"ממשחי, של ממשח (נוזל סיכה הנוצר במפרקים)"

Patellofemoral,"הנוגע לברך, ברכי"

Patella,פיקת הברך

Femur	,עצם הירך

Odoriferous,ריחני; מדיף ריח טוב

Puissance,און; כוח; עצמה

Tic,"טיק, התכווצות שרירים בפנים "

to annotate,לפרש; להוסיף הערות

Aril,"(תורת הצומח) עטי, מעטה העוטף זרעים מבחוץ"

Kaput,"אבוד, מחוסל, גמור (סלנג)"

Panpsychism,תיאוריה ופילוסופיה הגורסות כי לכל דבר בעולם יש תודעה ונפש

Cosmopsychism,תיאוריה ופילוסופיה הגורסות כי ליקום עצמו יש תודעה משלו שמורכבת מתת-תודעות שונות המוכלות בו 

Micropsychism,"תיאוריה ופילוסופיה הגורסות כי תודעה אורגנית היא תוצאה של שילוב מספר תודעות בסיסיות יותר, תודעות של גופים קטנים ביותר שביחד מולידים תודעה אחידה"

Monistic,של תורת אחדות הבריאה

Basalt,"בזלת, בשנית (בגיאולוגיה)"

Tracheotomy,חיתוך קנה (ברפואה)

to splint,"לקבע בגשיש, לשים בלוח-יישור (עצם שבורה)"

to retch,לנסות להקיא בלא הצלחה 

Splint,"גשיש, לוח יישור (לקיבוע עצם)"

Permafrost,שכבת אדמה קפואה

Clinker,פסולת פחם; (בעגה) כישלון

Bow,"קשת (גם בענן); קידת נימוסין; חרטום ספינה; קשתנית / חרטום, השייך לחלק הקדמי של האנייה"

Caribou,סוג של ראם

to acculturate,"להיטמע, להתבולל מבחינה תרבותית; לאמץ תרבות זרה"

Retardant,"חומר המצמצם את מהירות התגובה הכימית / מעכב, מאחר"

Statin,קבוצה של תרופות המשמשות להורדת רמות הכולסטרול 

Rotary,סיבובי; מסתובב / אי תנועה; כיכר

Conch,קונכייה

Ticker,מטקטק; לב (בעגה)

Brassica,"משפחת המצליבים (אליה משתייכים הירקות: ברוקולי, כרוב, כרובית וכו')"

Infarction,אוטם (ברפואה)

to liquor,להשקות במשקה משכר; לשתות משקה משכר; להשרות במים

Liqueur,ליקר (משקה חריף(

Liquor,משקה משכר מזוקק; נוזל; תמיסה (רפואית) 

Red herring,דבר הבא להסיח את הדעת מהנושא; דג מלוח שמעושן עד לקבלת צבע חום אדמדם

Sepsis,"אלח, אלח דם"

Urethra,שפכה

Chlamydia,כלמידיה (מחלת מין)

Macronutrient,"חומר מזין אותו צורכים אורגניזמים בכמויות גדולות על מנת לגדול (כגון פחמימות, חלבונים, שומנים) "

Micronutrient,"יסוד קורט, חומר מזין אותו צורכים בכמויות קטנות על מנת לגדול (ויטמינים, נוגדי חמצון, מינרלים וכו')"

Batholith,חומר מזין אותו צורכים צמחים בכמויות גדולות על מנת לגדול 

Igneous,"של אש, וולקני; נוצר ע""י חום; לוהט "

to heft,לבחון משקל (בהרמה); לשקול 

Doozy,"משהו נהדר ומדהים, משהו מיוחד, משהו יוצא דופן מסוגו  "

Scattershot,שכולל טווח רחב ביותר ובו בזמן אקראי

Quasicrystal,"גביש כמו-מחזורי, גביש שבניגוד לגבישים רגילים, שהם בעלי סריג מחזורי, הוא בעל סימטריה שאיננה מסתדרת עם מחזוריות"

Crystallography,חקר גבישים 

Pirouette,פירואט (בבלט-סיבוב מלא על קצות האצבעות) 

Colorant,"חומר צבע; פיגמנט, צבען (גם colorant) "

Crepe,"מלמלה, קרפ, סוג של אריג עשוי משי או כותנה; נייר דק; (צרפתית) קרפ, חביתית קטנה ודקה, פנקייק "

Saltpeter,"מלחת, סלפטר "

Firecracker,פצצת-רעש (העשויה מקרטון) 

Pyrotechnic,של פירוטכניקה (תורת זיקוקין דינור); של זיקוקין דינור 

Strontium,"(כימיה) סטרונציום, סימנו Sr, יסוד מתכתי רך כסוף "

to solemnize,"להרצין, להיעשות רציני, לעטות סבר פנים חמור; לדבר בכובד-ראש; לחגוג; לערוך טקס; להקנות צביון חגיגי; לערוך טקס (כגון חתונה); לערוך באופן טקסי או פורמלי (גם solemnise) "

Clavier,מקלדת

Emulsion,תחליב

to emulsify,לתחלב

Fibrosis,לַיֶּפֶת

Boa,נָחָשׁ חֶנֶק

Blepharospasm,עֲוִית הָעַפְעַף (ברפואה)

Peg,יתד; פין; אטב 

Adjudicator,"פוסק, בורר, חורץ דין"

to attest,להצהיר (גם בשבועה); לאשר 

Runner up,"מתמודד, מועמד, קנדידט; שני בתחרות "

Lampblack,פיח

Testament,צוואה

to dispossess,"לנשל, לגרש"

Catechism,"מקראה של עיקרי הנצרות, קטשיזם "

Sardonic,"ציני, לגלגני, עוקצני, ארסי "

Druid,דרואיד (חבר במסדר דתי של כמרים בני העמים הקלטיים)  

Windswept,חשוף לרוחות

Sanatorium,"בית החלמה, סנטוריום"

Socialite,איש החברה הגבוהה (עגה)

Crypt,אולם תת קרקעי

Buckskin,עור צבי

Whir,"זמזום, רשרוש, משק (כנפיים) "

Fido,"מטבע שיש בו שגיאת הטבעה, מטבע שהוטבע באופן שגוי "

Burlap,אריג גס

In bulk,"בצובר, בכמויות גדולות"

Dextrose,סוכר פירות

Groats,גריסים

Bran,סובין

Unseasonable,לא בעונה

Seasonable,"בעתו, במועדו, בעונתו"

Superluminal,מהיר ממהירות האור

Requisite,"דרוש, נחוץ / נחיצות, הכרח"

Dotage,"טיפשות, סניליות"

Ruination,"הרס, חורבן; הריסה, החרבה"

Dysrationalia,אי היכולת של אדם לפעול בהיגיון למרות היותו בעל רמת אינטליגנציה גבוהה

to vacate,"לפנות (דירה, מושב); להתפטר; לבטל חוזה"

Rapt,"שקוע, מרותק; שטוף שמחה"

Tern,סנונית מים; (ספנות) מפרשית בעלת שלושה תרנים; (בהימור) סדרה של שלושה דברים (בהגרלה: שלושה מספרים המצטרפים למספר הזוכה (

Fulmar,עוף ימי ממשפחת היסעור (עוף-ים)

Walrus,"ניבתן, סוג של סוס-ים"

to forewarn,"להזהיר מראש, להתרות"

Graben,(בגיאולוגיה) חלק מקליפת כדור הארץ ששקע פנימה ותחום על ידי שני אזורים מוגבהים

Horst,חלק מקליפת כדור הארץ שבולט כלפי מעלה ותחום על ידי שני אזורים שקועים

Alpine,"אלפיני, של או השייך להרי האלפים; של או שייך לסקי במורדות ההר; של או שייך לאנשי האלפים של מרכז אירופה (אנתרופולוגיה) / הררי; של הרים "

Incandescent,"זוהר, לוהט, מתלבן "

Exceptionality,דבר יוצא דופן  

Tephra,"החומר שנפלט לאוויר בהתפרצות הר געש ונופל אחר כך לקרקע. הרכב הטפרה הוא בדרך כלל ריוליטי, שכן הרי הגעש הסוערים ביותר הם תוצרים של מאגמה פלסית, כלומר שהיא עשירה בסיליקה וצמיגותה גבוהה"

Caldera,"קלדרה, לוע רחב מאוד של הר געש "

Maar,"שקע שנוצר כלוע התפוצצות משנית של הר געש, והוא המבנה הגעשי הנפוץ ביותר אחרי חרוט סקוריה"

Ejecta,"פרש, צואה"

Insular,"קרתני, צר-אופק; איי, של אי; מבודד, מנותק /תושב אי"

Felsic,"כינוי בגאולוגיה למינרלים סיליקטיים, מגמה, סלעי תהום וסלעי פרץ שבהם יש ריכוזים גבוהים של יסודות קלים כדוגמת צורן, חמצן, אלומיניום, נתרן ואשלגן. "

Jigsaw,"משונן, נראה כחתוך במסור / מסור נימה (סוג מסור); תצרף, פאזל, משחק הרכבה, צירוף חלקים לתמונה "

Stoichiometry,סטוכיומטריה (בכימיה-מדידת יסודות)  

Authoritative,"מוסמך, מהימן; סמכותי "

Kinetic,"של תנועה, קינטי"

Epistemic,"של תורת ההכרה, שייך לחקר הדעת האנושית "

Stratovolcano = Composite volcano,הר געש העשוי שכבות של לבה ואפר לסירוגין 

Cinder cone volcano,הסוג הנפוץ ביותר של הר געש

Pyroclastic,העשוי מרסיסים שפורקו בצורה וולקנית

Volcanism,"געשיות, וולקניות"

to subduct,"לחסר, להפחית"

Myelin,חומר העוטף סיבי עצב

Chancre,כיב עגבת (ברפואה)

Hypothyroidism,תת-פעילות בלוטת התריס (ברפואה)  

Quip,"פלפול, חידוד, הלצה שנונה, הערה עוקצנית"

Trypophobia,בעת חולני מחורים או מדבר מחורר

Nyctophobia,בעת חולני מהחושך; בעת לילה

Ergonomics,"ארגונומיה, הנדסת אנוש (חקר ההשפעה של סביבת העבודה של בני אדם על פריונה ויעילותה של עבודתם)"

Deadlock,קיפאון; מבוי סתום

Prebiotic,שמתרחש או קיים לפני תחילת החיים; שנוגע לסיבים בלתי-מסיסים המסייעים לעיכול

Probiotic,מילה לתאר מזון ותוספי מזון המכילים חיידקים ידידותיים  למערכת העיכול בכלל ולמעיים בפרט ותורמים לאיזון החיידקים המזיקים

Cobweb,קורי עכביש

Baryon,"(פיזיקה) באריונים הם משפחת חלקיקים תת-אטומיים הכוללים את הפרוטון ואת הניטרון (הנקראים נוקליאונים) ומספר חלקיקים כבדים יותר, אך פחות יציבים (הנקראים היפרונים)"

Housewife,עקרת בית

Tine,"שן, חוד"

Jag,"בליטה, שן, שן סלע, זיז; שכרות; התקף (אכילה, בכי וכו'. סלנג) "

Fascia,"סרט; תחבושת; פס, רצועה "

Sideline,"עבודה מן הצד, עיסוק נוסף; שוליים, קו צידי (במגרש); קו נוסף של סחורה "

Pandemic,"מקיף, סוחף; נפוץ; פרוש על פני שטח גדול, אוניברסלי; מגפתי, אפידמי, עובר מאדם לאדם, מתפשט / פנדמיה, מגפה המתפשטת על שטחים גדולים "

Meninges,קרום המוח

Flavonoid = Bioflavonoid,"פלבונואיד (כונה בעבר ""ויטמין P""), קבוצת תרכובות המסותנזות על ידי צמחים ומצויות בפירות וירקות ובין תפקידיהם הוא ייצור פיגמנטים של צמחים המייצרים צבע צהוב, אדום או כחול שמסייעים במשיכת בעלי חיים מאביקים, משיכת חיידקים סימביוטיים, דחיית טפילים. לפלבונואידים יש יכולות אנטי בקטריאליות ודחיית פטריות בצמחים. ישנם יותר מ-5,000 סוגים שונים של פלבונואידים שנבדלים זה מזה במבניהם הכימיים (המוכרים ביניהם: אפיקטצ'ין בתה, קקאו ותותים; קזפרטין בפירות הדר, יין אדום ומגוון פירות וירקות; קוורציטים בבצל, תפוח, תותים, תה, יין אדום ומגוון פירות וירקות; כורכומינואידים בתבלין הכורכום)."

Newt,סלמנדרה (דו-חי) More Results >>

Svelte,"חטוב, גמיש"

Pumpernickel,לחם שיפון גס

to parboil,לבשל למחצה על ידי הרתחה; לחמם יותר מדי

CJD = Creutzfeldt–Jakob disease,"מחלת קרויצפלד-יעקב, מחלה הדומה למחלת הפרה המשוגעת, מחלה ניוונית, נדירה וקטלנית של מערכת העצבים שבאה לידי ביטוי בשינוי מסויים בהתנהגות שמלווה בתוך פחות משנה על ידי שיטיון וירידה ביכולת המנטלית, עוויתות וקפיצות שרירים ועד שיתוקים באזורים נרחבים ואבדן הכרה. המחלה גורמת לרקמות המוח להפוך כמו-ספוגיים."

Streptolysin S,רעלן מסויים שמשוחרר על ידי חיידק טורף שגורם לחולה לכאב בלתי נסבל ומקשה על המערכת החיסונית להתנהל מול החיידק

Hirsutism,שעירות יתר (מחלה)

Hyperhidrosis,הזעת יתר

Psoriasis,ספחת (מחלת עור)

Syndrome,"תסמונת (מכלול תופעות רפואיות, מספר סימפטומים אופייניים המופיעים יחד)"

Communicable,"מדבק, עובר; מקשר "

Noncommunicable,בלתי ניתן לתקשור; בלתי מדבק (מחלה)  

Neonatal,של יילודים

Ischemic,איסכמי (ברפואה – של אנמיה מקומית)

Triad,שלישייה; שילוש

Interdisciplinary,בין תחומי

Musculature,"מערכת השרירים, תשרורת"

Holdover,"אדם, מנהג, או דבר שמחזיק מעמד מתקופה שעברה"

Wherefore,"לכן, לפיכך/ מדוע? לשם מה?/ סיבה, גורם"

Afterthought,מחשבה שנייה

Eclectic,"אקלקטי, לקטני, מלוקט ממקורות שונים; מלקט; הטרוגני, מגוון, לא אחיד, מורכב מחלקים שונים "

Bioavailability,"המידה והיעילות  שסם, מינרל, הורמון או כל חומר אחר מגיע (פיזית) לאזור הרלוונטי אליו בגוף בע""ח מסוים, ומגיב בהתאם עם האזור (לדוגמא: כדור ויטמינים שנבלע ומתפזר בגוף בין הרקמות והתאים). התהליך מחולק למספר שלבים: "

Bioaccessibility,"מידת קליטת התרכובת שמשתחררת (מהמזון שעוכל) במעיים, הנגשתה לספיגה (על ידי קטבוליזם ואנאבוליזם) ע""י הגוףכמוכ"

Bioactivity," (דרך מערכת הדם). התהליך כולל עיכול ועיבוד חומר לספיגה, ספיגה ברקמות האפיתל של המעיים, כמו גם קליטה ועיבוד על ידי הכבד והעברה דרך מערכת הדם"

Inroad,"התקפה, פלישה, חדירה, פשיטה; הסגת גבול "

Lymph,"לימפה (נסיוב הדם, נוזל דמוי פלסמה הקולט ופולט חמצן) "

Tonsil,שקד (בלוטה)

Otolaryngology,תורת האוזן והגרון (ברפואה)

Pharynx,לוע

Venous,"ורידי, של הוורידים; עלה בעל עורקים "

Venule,ורידון (וריד קטן)

Immunology,"תורת החיסון, אימונולוגיה, חקר מערכת החיסון (בביולוגיה) "

Thymus,"תימוס, בלוטת התימוס (בלוטה באזור הלב)"

to badmouth,"להשמיץ, לדבר רעות על-3 more results (out of 3 available)"

Abuzz,"המשמיע קול זמזום; מלא חיים, רוחש פעלתנות 3 more results (out of 3 available)"

Rotisserie,"אסכלה קטנה, מתקן לצליית בשר; מסעדה המתמחה בבשרים צלויים על אסכלה; מסעדה או חנות המוכרות עוף בגריל  "

Pteropod,פרפר ים (בזואולוגיה)

Amphipod,"בע""ח סרטני בעל גוף דחוס ומספר רב של רגלים"

Repertoire,מחזור הצגות

Ochre,חום-צהוב / אוכרה (חומר-צבע צהוב-חום)  

Revelry,"הילולה, שמחה"

Listeriosis,דלקת ליסטריה (רפואה)

Colic,כאב-בטן; עווית מעיים / של המעיים  

Memento,מזכרת; תפילת זיכרון

Epidural,"אפידורלי, מעל הקרום הקשה (באנטומיה)  "

Postpartum,"שלאחר הלידה, בתר-לידתי "

Glucagon,גלוקגון (הורמון הנוצר בלבלב) 

Exocrine,הפרשה הורמונלית חיצונית

Uncinate,"דמוי אונקל, ווי"

Pancreatitis,דלקת הלבלב

Mesophilic,"מזופיל, אורגניזם אשר משגשג בטמפרטורות בינוניות, לא חמות מדי ולא קרות מדי (בין 20-45 מעלות צלסיוס)"

Thermophilic,"תרמופיל, אוהב חום, עמיד ומתפתח בטמפרטורות הגבוהות מ-50 מעלות צלזיוס (נאמר לגבי צמחים, בע""ח, חיידקים ועוד)"

Aerobic,"אירובי, זקוק לאוויר (בעל-חיים, צמח, רקמה) "

Anaerobic,"אנארובי, מתקיים ללא אוויר, שאינו זקוק לחמצן (בכימיה)  "

Centipede,מרבה רגליים

Trimming,"גיזום, גזירה; עיטור, קישוט"

Vermicomposting,תהליך יצירת דשן אורגני באמצעות תולעה ורימה

Sole,"סוליה; כף-רגל; דג משה רבנו, סולית (סוג דג) / יחיד, בודד; בלבדי, בלעדי"

Outsole,סוליה חיצונית

Midsole,סוליה אמצעית

Insole,"סוליה פנימית, מדרס, רפידה (בנעל) "

Incontinence,"אי התאפקות, חוסר הבלגה"

Ptosis,צנחת (בעיה רפואית של צניחת עור)

to nip,לצבוט; לנשוך; לקלקל; להגיח; ללגום; להשחית 

Neuroses,"נברוזה (הפרעה במערכת העצבים, הפרעה נפשית, תסביך) "

Fluorosis ,רעלת פלואור (מחלה דנטלית)

Spinel,"ספינל, מינרל שהוא גם אבן חן"

Heterochromia,"הטרוכרומיה אירידיס ובקיצור, הטרוכרומיה, היא תופעה  ב, שבה  עין אחת היא בעלת  שונה מקשתית העין השנייה (הטרוכרומיה מלאה), או מצב שבו חלק מקשתית העין הוא בעל צבע שונה מיתרת הקשתית (הטרוכרומיה חלקית). בעברית, אדם ששתי עיניו בעלות צבע שונה נקרא זַגְדָן, זוּגְדוּס או זַגְדוּם"

Plagioclase,שורת מינרלים מקבוצת הפלדספטים (פצלות השדה)

Xerostomia,יובש הפה (הפרעה דנטלית)

Periodontitis,"(ברפואת שיניים) מחלת מיסב השן, מחלה של הרקמות המחברות את השיניים ותומכות בהן (החניכיים, קרום מיסב השן) "

Bulimia,"בולימיה (בולמוס אכילה חולני, תאווה בלתי פוסקת למזון) "

Bulimia Nervosa,"בולימיה נרבוזה (בעברית זַלֶּלֶת) או בולימיה היא הפרעת אכילה המאופיינת בהתקפי זלילה שאחריהם נעשים מאמצי התרוקנות, לרוב באמצעות הקאות מכוונות."

Leukoplakia,"הפרעה ברקמות ריריות שמאופיינת בכתמים לבנים, בעיקר על לחיים, לשון, פות או פין"

Neuropathic,של מחלת עצבים

